7 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions"

--cache-ops 100
0.050170633,32379487,counts,branch-instructions
0.100934078,47084109,counts,branch-instructions
0.151592418,47312673,counts,branch-instructions
0.202261019,39543789,counts,branch-instructions
0.253069203,23262812,counts,branch-instructions
0.304442177,15626328,counts,branch-instructions
0.355892027,13190094,counts,branch-instructions
0.407231043,9936065,counts,branch-instructions
0.458685059,8895473,counts,branch-instructions
0.510020013,8127091,counts,branch-instructions
0.561503404,8578610,counts,branch-instructions
0.613007888,7192146,counts,branch-instructions
0.665038309,6912166,counts,branch-instructions
0.716436909,6643950,counts,branch-instructions
0.768163945,6761350,counts,branch-instructions
0.819185149,6957260,counts,branch-instructions
0.870746248,6397856,counts,branch-instructions
0.921723078,6468346,counts,branch-instructions
0.973731988,6411756,counts,branch-instructions
1.025083869,5998373,counts,branch-instructions
1.076542468,6048949,counts,branch-instructions
1.128223671,5739187,counts,branch-instructions
1.179575708,5814063,counts,branch-instructions
1.231528161,5537302,counts,branch-instructions
1.283489988,5525568,counts,branch-instructions
1.335321399,5529986,counts,branch-instructions
1.387118019,5391827,counts,branch-instructions
1.438864586,6366508,counts,branch-instructions
1.489894280,12755420,counts,branch-instructions
1.540693505,23448209,counts,branch-instructions
1.591276950,11124536,counts,branch-instructions
1.641802426,10886557,counts,branch-instructions
1.692263475,9599788,counts,branch-instructions
1.742797597,10754076,counts,branch-instructions
1.793373593,25807762,counts,branch-instructions
1.843893028,31271741,counts,branch-instructions
1.894213712,30399275,counts,branch-instructions
1.944522470,30284793,counts,branch-instructions
1.994884300,30369943,counts,branch-instructions
2.045208058,30505737,counts,branch-instructions
2.095558066,30488899,counts,branch-instructions
2.145853750,28712168,counts,branch-instructions
2.193590950,17545075,counts,branch-instructions
693587103

0.050170633,296579,counts,branch-misses
0.100934078,333584,counts,branch-misses
0.151592418,390573,counts,branch-misses
0.202261019,423942,counts,branch-misses
0.253069203,521866,counts,branch-misses
0.304442177,548317,counts,branch-misses
0.355892027,576392,counts,branch-misses
0.407231043,717069,counts,branch-misses
0.458685059,661202,counts,branch-misses
0.510020013,652652,counts,branch-misses
0.561503404,630300,counts,branch-misses
0.613007888,728053,counts,branch-misses
0.665038309,737112,counts,branch-misses
0.716436909,716503,counts,branch-misses
0.768163945,682658,counts,branch-misses
0.819185149,609398,counts,branch-misses
0.870746248,738884,counts,branch-misses
0.921723078,605439,counts,branch-misses
0.973731988,655161,counts,branch-misses
1.025083869,662315,counts,branch-misses
1.076542468,702686,counts,branch-misses
1.128223671,743102,counts,branch-misses
1.179575708,692572,counts,branch-misses
1.231528161,809432,counts,branch-misses
1.283489988,792983,counts,branch-misses
1.335321399,769948,counts,branch-misses
1.387118019,852065,counts,branch-misses
1.438864586,806114,counts,branch-misses
1.489894280,755982,counts,branch-misses
1.540693505,407143,counts,branch-misses
1.591276950,26195,counts,branch-misses
1.641802426,84190,counts,branch-misses
1.692263475,414781,counts,branch-misses
1.742797597,726415,counts,branch-misses
1.793373593,390186,counts,branch-misses
1.843893028,816243,counts,branch-misses
