17 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
0.254258369,648483,br_mis_pred,(13.30%)
0.101202881,63789217,branch-loads,(13.52%)
0.101202881,1520,dTLB-load-misses,(13.62%)
0.050163864,210533,br_mis_pred,(14.31%)
0.305819884,29823964,branch-loads,(14.32%)
0.203129665,56469143,cache-references,(14.39%)
0.254258369,23626903,br_immed_retired,(16.18%)
0.305819884,900,dTLB-load-misses,(16.22%)
2.270718463,14867276,br_immed_retired,(16.84%)
2.270718463,319185,br_mis_pred,(17.15%)
0.409472286,118804081,bus-cycles,(17.22%)
0.203129665,118912351,bus-cycles,(17.36%)
0.050163864,33548027,cache-references,(17.60%)
0.357348430,17080132,L1-dcache-loads,(18.40%)
0.409472286,15818684,cache-references,(19.12%)
0.409472286,11083088,branch-instructions,(20.98%)
0.461770517,768703,br_mis_pred,(21.13%)
0.152192679,52835685,L1-dcache-loads,(21.23%)
0.101202881,234,iTLB-load-misses,(21.30%)
0.254258369,35980320,branch-instructions,(21.53%)
0.461770517,10799936,br_immed_retired,(21.84%)
0.203129665,239609678,cpu-cycles,(22.27%)
2.219890591,26885981,cache-references,(22.62%)
0.513953904,12891833,branch-loads,(22.78%)
0.305819884,205,iTLB-load-misses,(22.85%)
2.270718463,10597085,branch-instructions,(23.33%)
0.101202881,534448,branch-load-misses,(23.48%)
0.305819884,578563,branch-load-misses,(23.53%)
0.513953904,704,dTLB-load-misses,(23.56%)
0.254258369,177,iTLB-load-misses,(23.66%)
2.219890591,100774030,bus-cycles,(24.22%)
0.203129665,39988968,branch-instructions,(24.97%)
0.617719014,115034017,bus-cycles,(25.33%)
0.152192679,93607981,L1-icache-loads,(25.44%)
0.617719014,7633052,branch-instructions,(25.46%)
0.461770517,301,iTLB-load-misses,(25.55%)
0.565753022,10423604,L1-dcache-loads,(25.56%)
0.050163864,44587498,br_immed_retired,(25.83%)
0.357348430,39513487,L1-icache-loads,(25.97%)
2.270718463,330,iTLB-load-misses,(25.99%)
0.513953904,171,iTLB-load-misses,(26.29%)
1.350510177,6974335,br_immed_retired,(26.31%)
1.508252417,121762817,bus-cycles,(26.42%)
0.461770517,9565673,branch-instructions,(26.90%)
0.409472286,239227084,cpu-cycles,(26.95%)
1.559716537,26679305,br_immed_retired,(27.05%)
0.617719014,10513473,cache-references,(27.07%)
1.403290489,8445070,branch-loads,(27.33%)
1.559716537,349,iTLB-load-misses,(27.45%)
1.350510177,816477,br_mis_pred,(27.51%)
1.350510177,223,iTLB-load-misses,(27.70%)
1.559716537,1296,dTLB-load-misses,(27.85%)
1.298174863,109794332,bus-cycles,(27.95%)
1.508252417,8675811,branch-instructions,(27.95%)
1.298174863,8088201,cache-references,(28.00%)
1.865126370,120419828,bus-cycles,(28.07%)
1.661541290,43007520,cache-references,(28.10%)
1.763382762,12077142,branch-loads,(28.10%)
