17 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
0.203275752,110903685,bus-cycles,(13.37%)
0.101247044,71683989,branch-loads,(13.48%)
0.203275752,37963471,branch-instructions,(15.64%)
2.217391007,11698689,L1-dcache-loads,(16.27%)
0.409796179,14383677,branch-instructions,(16.92%)
0.254360132,35437607,br_immed_retired,(16.95%)
0.254360132,193,iTLB-load-misses,(17.03%)
0.050193185,40860062,br_immed_retired,(17.28%)
2.168359171,34253194,branch-loads,(18.12%)
2.168359171,117,dTLB-load-misses,(18.78%)
0.050193185,30873496,cache-references,(19.19%)
2.117591613,28964795,branch-instructions,(19.48%)
2.117591613,116596002,bus-cycles,(19.49%)
0.101247044,378131,branch-load-misses,(19.75%)
0.101247044,982,dTLB-load-misses,(19.85%)
1.813267044,45111364,branch-loads,(20.27%)
2.217391007,9108695,cache-references,(20.85%)
0.254360132,386085,br_mis_pred,(20.94%)
0.409796179,102564938,bus-cycles,(20.96%)
0.254360132,789,dTLB-load-misses,(21.02%)
2.168359171,60,iTLB-load-misses,(21.60%)
2.217391007,64946797,cpu-cycles,(21.60%)
1.813267044,1836,dTLB-load-misses,(21.72%)
2.016248839,49098241,branch-loads,(22.33%)
1.965527635,891851,br_mis_pred,(22.42%)
1.609892282,10680143,branch-loads,(22.44%)
1.965527635,45247844,br_immed_retired,(22.51%)
1.965527635,203,iTLB-load-misses,(22.57%)
1.711646407,31088320,cache-references,(22.60%)
1.762510580,764773,br_mis_pred,(22.67%)
0.357394148,14113567,cache-references,(22.73%)
0.203275752,54098979,cache-references,(22.79%)
0.152306007,53188334,L1-dcache-loads,(22.87%)
1.559045193,67941,br_mis_pred,(22.95%)
0.305980395,33756727,branch-loads,(23.00%)
1.508148468,28885426,cache-references,(23.46%)
1.609892282,819,dTLB-load-misses,(23.55%)
0.305980395,561155,branch-load-misses,(23.80%)
1.813267044,393,iTLB-load-misses,(23.90%)
0.305980395,48187915,L1-icache-loads,(24.05%)
0.101247044,126369448,L1-icache-loads,(24.14%)
0.461255922,1227,dTLB-load-misses,(24.19%)
1.914806327,120248911,bus-cycles,(24.20%)
2.168359171,31966602,br_immed_retired,(24.42%)
0.984275660,9070758,branch-loads,(24.51%)
0.409796179,484391,br_mis_pred,(24.57%)
0.461255922,12630477,branch-loads,(24.64%)
1.762510580,29305171,br_immed_retired,(24.65%)
1.559045193,15361518,branch-instructions,(24.89%)
1.559045193,11511969,br_immed_retired,(24.92%)
1.914806327,31879435,cache-references,(24.94%)
0.357394148,216573580,cpu-cycles,(24.95%)
1.089578418,7788051,cache-references,(24.97%)
1.404288049,14440632,branch-loads,(24.98%)
0.984275660,942,dTLB-load-misses,(25.05%)
1.711646407,119822414,bus-cycles,(25.15%)
1.762510580,17072945,branch-instructions,(25.17%)
1.914806327,30261764,branch-instructions,(25.33%)
1.194635239,8694774,branch-loads,(25.34%)
