17 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
2.257044933,83696267,cpu-cycles,(10.20%)
0.050180477,36174157,cache-references,(11.37%)
0.101205066,403,dTLB-load-misses,(13.39%)
0.203145963,42533278,cache-references,(13.42%)
0.305878888,22189636,branch-loads,(13.76%)
1.035898486,1137,dTLB-load-misses,(13.98%)
1.035898486,199,iTLB-load-misses,(14.06%)
0.101205066,49,iTLB-load-misses,(14.13%)
0.305878888,423,dTLB-load-misses,(14.64%)
0.101205066,66642965,branch-loads,(14.95%)
0.984401763,6194438,branch-instructions,(15.00%)
0.254269458,26611277,branch-instructions,(15.33%)
0.984401763,107207234,bus-cycles,(15.90%)
0.254269458,735720,br_mis_pred,(16.08%)
0.305878888,120,iTLB-load-misses,(16.53%)
1.193213433,9327321,br_immed_retired,(16.70%)
1.558987344,20712725,cache-references,(16.90%)
1.455733431,14515100,branch-loads,(16.92%)
1.193213433,781307,br_mis_pred,(17.04%)
1.141219681,106922909,bus-cycles,(17.18%)
1.403304785,975003,br_mis_pred,(17.74%)
1.350579110,118093489,bus-cycles,(17.76%)
1.035898486,9759695,branch-loads,(18.15%)
0.879446972,13408788,branch-loads,(18.17%)
2.257044933,9442493,branch-instructions,(18.19%)
0.050180477,163531950,cpu-cycles,(18.38%)
1.455733431,419,dTLB-load-misses,(18.60%)
1.609895891,387305,br_mis_pred,(18.72%)
1.141219681,7007655,cache-references,(18.73%)
1.350579110,7386568,cache-references,(18.79%)
1.245739474,8593342,branch-loads,(18.99%)
0.409659152,12446959,cache-references,(19.18%)
1.403304785,6996849,br_immed_retired,(19.22%)
1.193213433,124,iTLB-load-misses,(19.26%)
1.660853084,10762880,branch-loads,(19.54%)
1.035898486,8002376,br_immed_retired,(19.58%)
1.088770098,8456021,L1-dcache-loads,(19.73%)
0.879446972,1282,dTLB-load-misses,(19.81%)
0.931913951,10273532,L1-dcache-loads,(20.23%)
1.813823726,486910,br_mis_pred,(20.52%)
1.558987344,117189046,bus-cycles,(20.60%)
1.762766638,38964967,cache-references,(21.07%)
0.618087334,10061426,cache-references,(21.26%)
0.152152416,57568614,L1-dcache-loads,(21.28%)
0.203145963,239510321,cpu-cycles,(21.31%)
1.609895891,18430046,br_immed_retired,(21.38%)
1.660853084,1481,dTLB-load-misses,(21.46%)
0.513901342,428,dTLB-load-misses,(21.48%)
1.864648420,40527433,branch-loads,(21.50%)
0.513901342,69,iTLB-load-misses,(21.52%)
0.101205066,62972195,br_immed_retired,(21.89%)
1.350579110,5279869,branch-instructions,(21.95%)
0.152152416,130814168,L1-icache-loads,(22.12%)
0.461610873,10072705,branch-instructions,(22.18%)
0.254269458,119868493,bus-cycles,(22.34%)
0.879446972,713831,branch-load-misses,(22.72%)
1.088770098,22435242,L1-icache-loads,(22.73%)
2.016809482,861337,br_mis_pred,(22.85%)
