17 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
0.101151885,1249,dTLB-load-misses,(13.36%)
0.101151885,56793011,branch-loads,(13.42%)
0.203308661,45840864,cache-references,(13.71%)
0.307255951,17760275,branch-loads,(13.92%)
0.050164121,38811235,cache-references,(14.79%)
0.307255951,541,dTLB-load-misses,(15.33%)
1.354737151,6103180,branch-instructions,(15.74%)
1.615119488,26027261,br_immed_retired,(15.79%)
0.254892933,567499,br_mis_pred,(16.06%)
0.254892933,21480097,branch-instructions,(16.27%)
1.195708468,589,dTLB-load-misses,(16.27%)
0.101151885,266,iTLB-load-misses,(16.52%)
1.615119488,404,iTLB-load-misses,(16.56%)
1.564384328,142028286,bus-cycles,(16.64%)
1.195708468,9165964,branch-loads,(16.71%)
1.143363470,775668,br_mis_pred,(16.77%)
1.407363345,137,iTLB-load-misses,(17.41%)
1.407363345,639,dTLB-load-misses,(17.67%)
1.564384328,26889258,branch-instructions,(18.01%)
1.090931754,8056798,cache-references,(18.15%)
0.307255951,190,iTLB-load-misses,(18.34%)
1.615119488,364013,br_mis_pred,(18.68%)
1.767668093,13241758,branch-instructions,(18.77%)
1.143363470,6398152,branch-instructions,(18.81%)
1.302109029,8505555,cache-references,(18.81%)
1.767668093,125288388,bus-cycles,(19.08%)
0.152125169,60948858,L1-dcache-loads,(19.25%)
1.195708468,113,iTLB-load-misses,(19.44%)
1.354737151,141536079,bus-cycles,(19.62%)
0.050164121,247542,br_mis_pred,(20.22%)
1.407363345,7436432,br_immed_retired,(20.37%)
1.665976575,12975414,branch-loads,(20.38%)
2.202862539,12682458,branch-loads,(20.38%)
2.202862539,386,dTLB-load-misses,(20.42%)
1.716761631,24986232,cache-references,(20.51%)
1.143363470,7309200,br_immed_retired,(21.07%)
1.615119488,234,dTLB-load-misses,(21.31%)
0.203308661,279710236,cpu-cycles,(21.58%)
1.407363345,8442161,branch-loads,(21.72%)
1.665976575,26959,branch-load-misses,(21.76%)
1.354737151,786645,br_mis_pred,(21.98%)
0.152125169,166979594,L1-icache-loads,(22.31%)
0.254892933,18918633,br_immed_retired,(22.34%)
2.173395574,716698,br_mis_pred,(22.34%)
0.203308661,139414830,bus-cycles,(22.43%)
1.512229381,7625708,cache-references,(22.66%)
0.359195638,12451364,L1-dcache-loads,(22.97%)
1.459433917,18978579,L1-icache-loads,(23.08%)
1.716761631,251742434,cpu-cycles,(23.22%)
1.665976575,76592455,L1-icache-loads,(23.37%)
0.985740720,9504456,branch-loads,(23.60%)
0.411331105,11850302,cache-references,(23.66%)
1.090931754,141142422,bus-cycles,(23.67%)
1.090931754,281437893,cpu-cycles,(23.70%)
1.818468097,2843,dTLB-load-misses,(23.71%)
0.254892933,140994058,bus-cycles,(23.82%)
1.564384328,16600241,cache-references,(23.91%)
0.985740720,333,dTLB-load-misses,(23.95%)
