17 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
2.148097287,0,iTLB-load-misses,(1.26%)
2.148097287,114646,branch-load-misses,(12.91%)
0.101145121,68732036,branch-loads,(13.35%)
0.254207016,392726,br_mis_pred,(14.47%)
0.203067270,55375727,cache-references,(14.64%)
2.148097287,6756575,br_immed_retired,(14.64%)
0.305729624,26467061,branch-loads,(14.76%)
0.101145121,1088,dTLB-load-misses,(14.79%)
0.050173604,193840,br_mis_pred,(14.91%)
0.203067270,118854896,bus-cycles,(15.47%)
0.513759843,12250545,branch-loads,(16.19%)
0.050173604,34597133,cache-references,(16.29%)
0.461556977,604913,br_mis_pred,(16.55%)
0.254207016,27653608,br_immed_retired,(16.68%)
1.412672747,20823193,cache-references,(16.80%)
0.513759843,989,dTLB-load-misses,(17.38%)
0.409644266,15379827,cache-references,(17.43%)
0.618329586,9573468,cache-references,(18.04%)
0.305729624,1214,dTLB-load-misses,(18.77%)
0.831358119,7828658,cache-references,(19.40%)
0.409644266,120082213,bus-cycles,(20.00%)
0.461556977,10832969,br_immed_retired,(20.39%)
1.256036023,106834094,bus-cycles,(20.43%)
0.670436099,6741476,branch-instructions,(20.55%)
0.152044816,57033705,L1-dcache-loads,(21.13%)
0.461556977,10017992,branch-instructions,(21.14%)
0.101145121,231,iTLB-load-misses,(21.18%)
2.148097287,127979,br_mis_pred,(21.33%)
0.513759843,210,iTLB-load-misses,(21.34%)
1.412672747,104666191,bus-cycles,(21.95%)
0.357519003,16419290,L1-dcache-loads,(22.34%)
0.305729624,593724,branch-load-misses,(22.35%)
0.254207016,192,iTLB-load-misses,(22.38%)
2.123703790,26209059,cache-references,(22.44%)
1.256036023,5568875,branch-instructions,(22.50%)
0.203067270,239479309,cpu-cycles,(22.52%)
1.463507546,282075,br_mis_pred,(22.62%)
1.463507546,24853196,br_immed_retired,(22.65%)
0.670436099,571394,br_mis_pred,(22.67%)
0.203067270,37897927,branch-instructions,(23.24%)
0.152044816,127793522,L1-icache-loads,(23.25%)
0.254207016,33710600,branch-instructions,(23.54%)
1.309007063,289,iTLB-load-misses,(23.80%)
1.309007063,1384,dTLB-load-misses,(23.99%)
0.618329586,243344184,cpu-cycles,(24.01%)
1.097803680,153,iTLB-load-misses,(24.08%)
0.101145121,459411,branch-load-misses,(24.22%)
0.565895627,9758285,L1-dcache-loads,(24.30%)
1.412672747,209204800,cpu-cycles,(24.40%)
0.305729624,275,iTLB-load-misses,(24.71%)
0.887781906,758226,br_mis_pred,(24.88%)
2.148097287,18962238,L1-icache-loads,(24.91%)
0.993028208,8009893,cache-references,(24.94%)
0.887781906,7117973,branch-instructions,(25.11%)
1.463507546,485,iTLB-load-misses,(25.11%)
0.409644266,241507756,cpu-cycles,(25.14%)
1.097803680,796,dTLB-load-misses,(25.35%)
0.618329586,120788808,bus-cycles,(25.38%)
