17 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
0.050177145,36360401,cache-references,(11.35%)
2.145203559,8631936,L1-dcache-loads,(12.14%)
2.145203559,15574254,L1-icache-loads,(12.15%)
2.145203559,113552,branch-load-misses,(12.15%)
0.101214702,439,dTLB-load-misses,(13.43%)
0.203239089,47603277,cache-references,(13.54%)
0.101214702,112,iTLB-load-misses,(14.16%)
0.306161805,933,dTLB-load-misses,(14.35%)
0.101214702,65872105,branch-loads,(14.95%)
0.254410083,31795427,branch-instructions,(15.24%)
0.409759414,11403902,cache-references,(15.39%)
0.306161805,18468885,branch-loads,(15.86%)
0.306161805,245,iTLB-load-misses,(16.26%)
0.254410083,529334,br_mis_pred,(16.36%)
0.050177145,163926566,cpu-cycles,(18.54%)
0.618369053,10560636,cache-references,(18.55%)
0.670414211,7120470,branch-instructions,(19.25%)
0.566278531,12666452,branch-loads,(19.43%)
0.618369053,211175176,cpu-cycles,(19.98%)
0.461608895,669216,br_mis_pred,(20.75%)
0.357686079,12760110,L1-dcache-loads,(21.12%)
0.152216166,57927632,L1-dcache-loads,(21.23%)
0.461608895,11348530,branch-instructions,(21.38%)
0.203239089,237282710,cpu-cycles,(21.48%)
0.670414211,111864284,bus-cycles,(21.74%)
2.145203559,31,dTLB-load-misses,(21.89%)
0.101214702,62711734,br_immed_retired,(21.91%)
0.152216166,127701375,L1-icache-loads,(22.05%)
0.254410083,119599735,bus-cycles,(22.09%)
0.357686079,40259275,L1-icache-loads,(22.38%)
2.115221491,594417,br_mis_pred,(22.74%)
0.566278531,697192,branch-load-misses,(22.79%)
0.306161805,22156506,br_immed_retired,(22.80%)
2.115221491,174,iTLB-load-misses,(22.92%)
2.115221491,29762510,br_immed_retired,(22.92%)
0.409759414,238197679,cpu-cycles,(23.08%)
0.722721451,993,dTLB-load-misses,(23.26%)
0.670414211,636803,br_mis_pred,(23.27%)
0.722721451,321,iTLB-load-misses,(23.30%)
0.566278531,30791790,L1-icache-loads,(23.34%)
0.254410083,23587085,br_immed_retired,(23.37%)
0.722721451,10533269,branch-loads,(24.03%)
0.357686079,662403,branch-load-misses,(24.34%)
0.514260925,13485109,br_immed_retired,(24.36%)
0.050177145,208710,br_mis_pred,(24.54%)
0.203239089,118178556,bus-cycles,(24.62%)
0.461608895,14612294,br_immed_retired,(24.79%)
0.409759414,118375837,bus-cycles,(24.97%)
2.115221491,1247,dTLB-load-misses,(25.00%)
0.514260925,251,iTLB-load-misses,(25.08%)
0.461608895,115498482,bus-cycles,(25.54%)
0.152216166,463509,branch-load-misses,(26.03%)
1.556872407,10448693,branch-instructions,(26.10%)
1.810967595,845,dTLB-load-misses,(26.14%)
1.810967595,48702109,branch-loads,(26.15%)
0.722721451,8818542,br_immed_retired,(26.25%)
1.760301755,950347,br_mis_pred,(26.29%)
1.607722257,163,iTLB-load-misses,(26.32%)
