17 Events Counted per Perf Invocation: 
Each Perf Invocation was repeated 50 times

"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,L1-icache-loads,branch-load-misses,branch-loads,dTLB-load-misses,iTLB-load-misses,br_immed_retired,br_mis_pred"

--cache-ops 100
branch-misses,21463656,18655662,18498671,17033173,23723999,18768311,18372831,17701766,20539721,18655487,19884047,17648982,16954517,18980240,17040654,16974812,18770689,18956311,17528615,20398409,18722836,19388043,17219758,19535974,18379876,18211235,20779652,16480853,18653293,18867606,18102882,19414704,18870760,19270702,19204686,18772029,17208899,19193354,20259255,17400048,19187836,19103218,17757742,20030713,17749326,17379477,19500360,16740098,19010970,17583278
branch-instructions,637067006,603712035,604974656,602811012,652318122,615693016,605873326,602534509,627735403,606833678,615678081,601747809,600516248,604287764,602410244,602101748,607197680,605725492,608705895,600962728,613996301,608707884,603925892,614123168,613221571,614247517,608520255,600315136,598734303,611268543,605007153,609372239,610190935,616173907,611314925,611319386,603619930,609714770,618587402,602895755,614387583,620587841,612421910,609847037,606520715,610309076,617504792,610248246,614408003,608458639
bus-cycles,3075222342,2741385053,2786246176,2739746152,3350397761,2979921673,2753393678,2718772691,3020732016,2775439351,2873102209,2720617551,2739111519,2728923575,2744288302,2701389817,2755202420,2682308841,2702452205,2698671876,2765113781,2691860891,2838523199,2770583806,2822948253,2735278357,2773280171,2705397241,2712168453,2717524576,2727794505,2663500807,2670306205,2705978261,2671401142,2723024598,2684409195,2695580349,2772506329,2682940961,2708123467,2743077185,2684149644,2742981862,2693714071,2689869086,2785593687,2699851682,2697676314,2719772486
cache-misses,11110722,9619648,9744505,8134454,15477688,10542267,10616450,9342337,10749747,8954964,10700801,8410133,8620505,9074847,9878394,9033250,9488007,9607468,9752703,8725942,10597899,10515541,9857668,9959689,10237714,10246073,10605443,8437308,10303534,10282523,9298296,9720027,8933864,9326239,9679679,9945521,9890387,9034800,10295608,8851358,10027947,10790608,10748515,10751063,9861814,10594366,10162975,10194083,10161824,10511475
cache-references,984285420,874720390,877706891,878355164,1041003962,917277817,871489223,875300966,916915595,877383813,891799223,868062763,867655744,885614554,872433629,866509027,883666997,875878969,876057769,881142842,896344867,881371250,884193610,889340991,871196353,907246807,915785597,908636312,871778953,892443694,890203620,876970513,867664186,882160693,887834970,907698649,880288597,887281198,875974144,892236445,904814912,910318098,876945620,904758852,895968857,894803612,914766850,884746934,889589769,902603189
cpu-cycles,6167258798,5460568785,5562394872,5516480442,6804675015,5901001146,5466073325,5477757877,5925100089,5608865755,5649063351,5473823080,5459487533,5423605460,5463101836,5439932332,5521154315,5366161308,5412182753,5407558241,5562504664,5397072015,5635829145,5506292464,5643818880,5455286208,5549209493,5420410159,5424425435,5413357109,5438638047,5312509014,5351500836,5393331639,5422937217,5564982330,5377021116,5413281647,5450275486,5410240441,5446738195,5450786694,5363326656,5516950760,5409203651,5396045775,5534732960,5404968648,5379128501,5429001976
instructions,5041634203,4685976924,4666069741,4723110289,5092009314,4803462853,4646010989,4674248958,4826014884,4735523199,4705683536,4686352164,4723116146,4715147863,4681405121,4705451646,4728355351,4692098773,4666979900,4691731534,4684545107,4704724434,4700006598,4753396455,4675730760,4736730535,4688134118,4739174577,4701634811,4702864178,4698062987,4678617466,4720537356,4709817997,4707324692,4778818372,4729794953,4673610823,4708445703,4750246348,4684832547,4703849094,4685865941,4706017115,4698089793,4716504609,4802914442,4693061806,4735099847,4646863391
L1-dcache-load-misses,13408845,11214397,10744879,10092087,14682722,11267797,10781196,10946958,11246525,10132244,11108372,10061351,8833729,8610839,9616893,9830576,11520458,9731132,8614497,10011790,9562074,10877763,9612822,10957460,11472433,10764888,10220901,8675787,11551204,9737286,9534374,10073705,10053966,11537390,9345381,11091724,10806040,9522289,10287148,9106472,10069712,10035448,10999818,10779627,9141200,10600903,10068517,10351213,10972924,9373018
L1-dcache-loads,1008875464,895649329,881440308,899263982,1029893630,921504647,876271953,891392022,920339868,901121725,883592842,886872140,893765792,893470717,888922620,869059808,905084815,902046948,874982785,904298794,881771595,902963106,892040340,878549635,882446772,909969593,887686385,896522867,879221400,906827936,871338790,898749329,889160670,892738996,896645355,908309858,896106042,878818950,889035491,897709184,890075267,893648093,891822793,898497413,889718580,918266838,923310270,901416418,909444162,877817525
L1-icache-load-misses,16272982,9767649,8824912,10785419,16993545,11827449,8740652,10200887,11029130,10947798,9936890,9563333,10097051,11124733,10588397,9840895,11947860,10662689,10025801,12025003,10897615,10788365,11133204,11726040,9969188,11372684,11261007,10761318,9681933,11577335,9627241,11577546,10926503,11480624,10773092,12221951,10902923,11294750,10079578,10859320,10087924,11420881,11583451,10589418,10561053,11204009,10677771,11262951,11309052,11537529
