6 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,instructions"

--cache-ops 100
0.050168039,32665220,counts,branch-instructions
0.100862378,46806669,counts,branch-instructions
0.151434999,47506841,counts,branch-instructions
0.201996839,41142064,counts,branch-instructions
0.252729199,26019664,counts,branch-instructions
0.303692340,15670118,counts,branch-instructions
0.354681262,14005297,counts,branch-instructions
0.405667267,16051286,counts,branch-instructions
0.457397749,10838676,counts,branch-instructions
0.508629066,9789875,counts,branch-instructions
0.559545280,7593513,counts,branch-instructions
0.611010919,7378974,counts,branch-instructions
0.662379684,6705676,counts,branch-instructions
0.713503397,6751377,counts,branch-instructions
0.765221171,6082018,counts,branch-instructions
0.817037591,5979646,counts,branch-instructions
0.868711511,5878599,counts,branch-instructions
0.920381316,5721869,counts,branch-instructions
0.972095445,5739987,counts,branch-instructions
1.023724573,5674843,counts,branch-instructions
1.075510211,5613472,counts,branch-instructions
1.127146163,5473632,counts,branch-instructions
1.178540031,5459264,counts,branch-instructions
1.230141973,6748115,counts,branch-instructions
1.281031416,16306368,counts,branch-instructions
1.331539401,21492871,counts,branch-instructions
1.382015616,16844098,counts,branch-instructions
1.432596987,10960782,counts,branch-instructions
1.483107994,9661776,counts,branch-instructions
1.533650927,12406409,counts,branch-instructions
1.584278079,19060128,counts,branch-instructions
1.634753096,30792654,counts,branch-instructions
1.685173582,30645060,counts,branch-instructions
1.735450319,30441011,counts,branch-instructions
1.785845180,30655709,counts,branch-instructions
1.836147020,30608556,counts,branch-instructions
1.886470423,30330111,counts,branch-instructions
1.936901377,27779004,counts,branch-instructions
1.987317332,19437457,counts,branch-instructions
2.018976464,7543716,counts,branch-instructions
692262405

0.050168039,307327,counts,branch-misses
0.100862378,378531,counts,branch-misses
0.151434999,358526,counts,branch-misses
0.201996839,449594,counts,branch-misses
0.252729199,516016,counts,branch-misses
0.303692340,573535,counts,branch-misses
0.354681262,591936,counts,branch-misses
0.405667267,502402,counts,branch-misses
0.457397749,634358,counts,branch-misses
0.508629066,613220,counts,branch-misses
0.559545280,614784,counts,branch-misses
0.611010919,695617,counts,branch-misses
0.662379684,699955,counts,branch-misses
0.713503397,645575,counts,branch-misses
0.765221171,815093,counts,branch-misses
0.817037591,868416,counts,branch-misses
0.868711511,831985,counts,branch-misses
0.920381316,788567,counts,branch-misses
0.972095445,819280,counts,branch-misses
1.023724573,803588,counts,branch-misses
1.075510211,799057,counts,branch-misses
1.127146163,817398,counts,branch-misses
1.178540031,831150,counts,branch-misses
1.230141973,847795,counts,branch-misses
1.281031416,699965,counts,branch-misses
1.331539401,444980,counts,branch-misses
1.382015616,207091,counts,branch-misses
1.432596987,56624,counts,branch-misses
1.483107994,432897,counts,branch-misses
1.533650927,580824,counts,branch-misses
1.584278079,404696,counts,branch-misses
1.634753096,655901,counts,branch-misses
1.685173582,918764,counts,branch-misses
1.735450319,908748,counts,branch-misses
1.785845180,896296,counts,branch-misses
1.836147020,897048,counts,branch-misses
1.886470423,874238,counts,branch-misses
1.936901377,842069,counts,branch-misses
1.987317332,588980,counts,branch-misses
2.018976464,242546,counts,branch-misses
