6 Events Counted per Perf Invocation: 


Interval Timestamp,Count,Unit,Event


"branch-misses,branch-instructions,bus-cycles,cache-misses,cache-references,instructions"

--cache-ops 100
0.050166320,32081449,counts,branch-instructions
0.100920137,40155663,counts,branch-instructions
0.151451404,30344358,counts,branch-instructions
0.201992982,45967808,counts,branch-instructions
0.252751592,33233614,counts,branch-instructions
0.303733325,20563913,counts,branch-instructions
0.355152089,13448974,counts,branch-instructions
0.406555540,9999450,counts,branch-instructions
0.458003106,8964443,counts,branch-instructions
0.509837754,8086524,counts,branch-instructions
0.561413653,7543736,counts,branch-instructions
0.612975802,7245477,counts,branch-instructions
0.664468628,7050145,counts,branch-instructions
0.716018641,6713148,counts,branch-instructions
0.767690112,6596919,counts,branch-instructions
0.819194866,6581281,counts,branch-instructions
0.871033211,6234285,counts,branch-instructions
0.922639006,6171441,counts,branch-instructions
0.974365165,6029567,counts,branch-instructions
1.029223398,6281184,counts,branch-instructions
1.081476482,5919421,counts,branch-instructions
1.133226547,5801297,counts,branch-instructions
1.184752550,5702002,counts,branch-instructions
1.236490792,5667704,counts,branch-instructions
1.288151691,5701536,counts,branch-instructions
1.339847954,5509050,counts,branch-instructions
1.391316040,5515272,counts,branch-instructions
1.442945949,8583619,counts,branch-instructions
1.493519872,24342059,counts,branch-instructions
1.544059940,15214554,counts,branch-instructions
1.594645164,10397188,counts,branch-instructions
1.645302159,9097576,counts,branch-instructions
1.695851759,8604139,counts,branch-instructions
1.746404119,9493735,counts,branch-instructions
1.797115749,17534872,counts,branch-instructions
1.847569255,30966320,counts,branch-instructions
1.897985417,28939677,counts,branch-instructions
1.948452048,28382160,counts,branch-instructions
1.998900294,28633429,counts,branch-instructions
2.049311300,30326159,counts,branch-instructions
2.099735275,30506671,counts,branch-instructions
2.150023729,30419349,counts,branch-instructions
2.200289996,22754537,counts,branch-instructions
2.249927983,10264310,counts,branch-instructions
693570015

0.050166320,313525,counts,branch-misses
0.100920137,354599,counts,branch-misses
0.151451404,355143,counts,branch-misses
0.201992982,366925,counts,branch-misses
0.252751592,516000,counts,branch-misses
0.303733325,500195,counts,branch-misses
0.355152089,600816,counts,branch-misses
0.406555540,623622,counts,branch-misses
0.458003106,601436,counts,branch-misses
0.509837754,655197,counts,branch-misses
0.561413653,661639,counts,branch-misses
0.612975802,718569,counts,branch-misses
0.664468628,727252,counts,branch-misses
0.716018641,683242,counts,branch-misses
0.767690112,720443,counts,branch-misses
0.819194866,739452,counts,branch-misses
0.871033211,798681,counts,branch-misses
0.922639006,794557,counts,branch-misses
0.974365165,835960,counts,branch-misses
1.029223398,873220,counts,branch-misses
1.081476482,779941,counts,branch-misses
1.133226547,819795,counts,branch-misses
1.184752550,817746,counts,branch-misses
1.236490792,816008,counts,branch-misses
1.288151691,766723,counts,branch-misses
1.339847954,858339,counts,branch-misses
1.391316040,777791,counts,branch-misses
1.442945949,683727,counts,branch-misses
1.493519872,548472,counts,branch-misses
1.544059940,206545,counts,branch-misses
1.594645164,52282,counts,branch-misses
1.645302159,24553,counts,branch-misses
1.695851759,430737,counts,branch-misses
1.746404119,764481,counts,branch-misses
1.797115749,252425,counts,branch-misses
